date,status,label,open_time,close_time,notes
2026-05-26,CLOSED,Eid al-Adha / Arafat Day,10:00,14:30,EGX trading suspended for Eid al-Adha holiday.
2026-05-27,CLOSED,Eid al-Adha holiday,10:00,14:30,EGX trading suspended for Eid al-Adha holiday.
2026-05-28,CLOSED,Eid al-Adha holiday,10:00,14:30,EGX trading suspended for Eid al-Adha holiday.
2026-05-29,CLOSED,Eid al-Adha holiday / weekend,10:00,14:30,EGX trading suspended for Eid al-Adha holiday.
2026-05-30,CLOSED,Eid al-Adha holiday / weekend,10:00,14:30,EGX trading suspended for Eid al-Adha holiday.
2026-05-31,CLOSED,Eid al-Adha holiday,10:00,14:30,EGX trading suspended for Eid al-Adha holiday; trading resumes 2026-06-01.
