timestamp_utc,Ticker,Yahoo_Symbol,Sector,Current_Price,Volume,Daily_Liquidity_EGP,Liquidity_Source,Price_Source,Price_As_Of,Price_Freshness,Current_Open,Current_High,Current_Low,Current_Previous_Close,Current_Change_%,Current_Source_URL,Yahoo_Last_Close,Current_Yahoo_Delta_%,Technical_Source_Status
2026-06-10T09:09:51.759143+00:00,KWIN.CA,KWIN.CA,General / Verified EGX Expansion,73.62,117026.0,8795770.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:53 AM market time,DELAYED_CURRENT,74.53,77.0,73.51,74.53,-1.22,https://english.mubasher.info/markets/EGX/stocks/KWIN,74.53,1.22,ALIGNED
2026-06-10T09:09:51.759143+00:00,MPRC.CA,MPRC.CA,General / Verified EGX Expansion,32.94,282925.0,9311569.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:51 AM market time,DELAYED_CURRENT,33.41,33.5,32.5,33.41,-1.41,https://english.mubasher.info/markets/EGX/stocks/MPRC,33.41,1.41,ALIGNED
2026-06-10T09:09:51.759143+00:00,CCAP.CA,CCAP.CA,Investment Holding,5.51,78054769.0,429893376.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:50 AM market time,DELAYED_CURRENT,5.52,5.58,5.45,5.52,-0.18,https://english.mubasher.info/markets/EGX/stocks/CCAP,5.52,0.18,ALIGNED
2026-06-10T09:09:51.759143+00:00,ISMQ.CA,ISMQ.CA,Basic Resources & Chemicals,8.15,7728971.0,63174660.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:52 AM market time,DELAYED_CURRENT,8.04,8.25,8.07,8.04,1.37,https://english.mubasher.info/markets/EGX/stocks/ISMQ,8.04,1.37,ALIGNED
2026-06-10T09:09:51.759143+00:00,MAAL.CA,MAAL.CA,General / Verified EGX Expansion,6.1,1110402.0,6792531.5,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:53 AM market time,DELAYED_CURRENT,6.05,6.19,6.05,6.05,0.83,https://english.mubasher.info/markets/EGX/stocks/MAAL,6.05,0.83,ALIGNED
2026-06-10T09:09:51.759143+00:00,MASR.CA,MASR.CA,General / Verified EGX Expansion,7.15,10888176.0,76298320.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:54 AM market time,DELAYED_CURRENT,6.95,7.15,6.9,6.95,2.88,https://english.mubasher.info/markets/EGX/stocks/MASR,6.95,2.88,ALIGNED
2026-06-10T09:09:51.759143+00:00,ATQA.CA,ATQA.CA,Basic Resources & Chemicals,9.94,989373.0,9886878.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:48 AM market time,DELAYED_CURRENT,9.94,10.06,9.91,9.94,0.0,https://english.mubasher.info/markets/EGX/stocks/ATQA,9.94,0.0,ALIGNED
2026-06-10T09:09:51.759143+00:00,OBRI.CA,OBRI.CA,General / Verified EGX Expansion,36.73,534607.0,19648400.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:54 AM market time,DELAYED_CURRENT,36.28,37.04,36.4,36.28,1.24,https://english.mubasher.info/markets/EGX/stocks/OBRI,36.28,1.24,ALIGNED
2026-06-10T09:09:51.759143+00:00,UEGC.CA,UEGC.CA,General / Verified EGX Expansion,1.48,20530209.0,30367502.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:51 AM market time,DELAYED_CURRENT,1.45,1.51,1.45,1.45,2.07,https://english.mubasher.info/markets/EGX/stocks/UEGC,1.45,2.07,ALIGNED
2026-06-10T09:09:51.759143+00:00,ACGC.CA,ACGC.CA,Textiles,9.87,1607374.0,15920081.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:49 AM market time,DELAYED_CURRENT,9.82,10.04,9.76,9.82,0.51,https://english.mubasher.info/markets/EGX/stocks/ACGC,9.82,0.51,ALIGNED
2026-06-10T09:09:51.759143+00:00,KABO.CA,KABO.CA,Textiles,6.36,1715947.0,10987781.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:45 AM market time,DELAYED_CURRENT,6.37,6.48,6.35,6.37,-0.16,https://english.mubasher.info/markets/EGX/stocks/KABO,6.37,0.16,ALIGNED
2026-06-10T09:09:51.759143+00:00,ORWE.CA,ORWE.CA,Textiles,23.71,503304.0,11997236.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:51 AM market time,DELAYED_CURRENT,23.85,23.94,23.71,23.85,-0.59,https://english.mubasher.info/markets/EGX/stocks/ORWE,23.85,0.59,ALIGNED
2026-06-10T09:09:51.759143+00:00,MPCO.CA,MPCO.CA,Agriculture & Food Production,1.8,10179847.0,18352954.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:52 AM market time,DELAYED_CURRENT,1.81,1.83,1.78,1.81,-0.55,https://english.mubasher.info/markets/EGX/stocks/MPCO,1.81,0.55,ALIGNED
2026-06-10T09:09:51.759143+00:00,ETRS.CA,ETRS.CA,General / Verified EGX Expansion,9.3,3717159.0,35520340.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:52 AM market time,DELAYED_CURRENT,9.29,9.73,9.29,9.29,0.11,https://english.mubasher.info/markets/EGX/stocks/ETRS,9.29,0.11,ALIGNED
2026-06-10T09:09:51.759143+00:00,HELI.CA,HELI.CA,Real Estate,6.62,6962068.0,46309036.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:51 AM market time,DELAYED_CURRENT,6.71,6.72,6.58,6.71,-1.34,https://english.mubasher.info/markets/EGX/stocks/HELI,6.71,1.34,ALIGNED
2026-06-10T09:09:51.759143+00:00,ORHD.CA,ORHD.CA,Real Estate,37.87,3960328.0,150611824.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:51 AM market time,DELAYED_CURRENT,37.0,38.51,37.04,37.0,2.35,https://english.mubasher.info/markets/EGX/stocks/ORHD,37.0,2.35,ALIGNED
2026-06-10T09:09:51.759143+00:00,AMER.CA,AMER.CA,Real Estate,2.78,8635994.0,24170922.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:50 AM market time,DELAYED_CURRENT,2.83,2.84,2.76,2.83,-1.77,https://english.mubasher.info/markets/EGX/stocks/AMER,2.83,1.77,ALIGNED
2026-06-10T09:09:51.759143+00:00,EGTS.CA,EGTS.CA,Real Estate,19.06,2082890.0,40431996.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:52 AM market time,DELAYED_CURRENT,19.9,20.09,18.81,19.9,-4.22,https://english.mubasher.info/markets/EGX/stocks/EGTS,19.9,4.22,ALIGNED
2026-06-10T09:09:51.759143+00:00,OLFI.CA,OLFI.CA,"Food, Beverages & Tobacco",21.9,715306.0,15678597.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:52 AM market time,DELAYED_CURRENT,21.8,22.01,21.7,21.8,0.46,https://english.mubasher.info/markets/EGX/stocks/OLFI,21.8,0.46,ALIGNED
2026-06-10T09:09:51.759143+00:00,MBSC.CA,MBSC.CA,Building Materials,275.0,44547.0,12285781.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:52 AM market time,DELAYED_CURRENT,275.75,277.85,274.65,275.75,-0.27,https://english.mubasher.info/markets/EGX/stocks/MBSC,275.75,0.27,ALIGNED
2026-06-10T09:09:51.759143+00:00,EHDR.CA,EHDR.CA,General / Verified EGX Expansion,2.79,10091173.0,28323408.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:52 AM market time,DELAYED_CURRENT,2.82,2.85,2.76,2.82,-1.06,https://english.mubasher.info/markets/EGX/stocks/EHDR,2.82,1.06,ALIGNED
2026-06-10T09:09:51.759143+00:00,ELKA.CA,ELKA.CA,General / Verified EGX Expansion,1.3,25042900.0,32639140.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:53 AM market time,DELAYED_CURRENT,1.28,1.32,1.28,1.28,1.56,https://english.mubasher.info/markets/EGX/stocks/ELKA,1.28,1.56,ALIGNED
2026-06-10T09:09:51.759143+00:00,ICID.CA,ICID.CA,General / Verified EGX Expansion,6.8,1900674.0,12740587.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:53 AM market time,DELAYED_CURRENT,6.92,6.96,6.45,6.92,-1.73,https://english.mubasher.info/markets/EGX/stocks/ICID,6.92,1.73,ALIGNED
