Ticker,Company Name,Sector,AI Status,Watchlist Tier,Signal Status
RAYA.CA,Raya Holding,Technology & Distribution,Active Tracking,WATCH,BUY_READY
CICH.CA,CI Capital Holding,Non-bank Financial Services,Active Tracking,WATCH,BUY_READY
ARAB.CA,Arab Developers Holding,Real Estate,Active Tracking,WATCH,BUY_READY
EBSC.CA,Osool ESB Securities Brokerage,General / Verified EGX Expansion,Active Tracking,WATCH,BUY_READY
NHPS.CA,National Company for Housing Professional Syndicates SAE,General / Verified EGX Expansion,Active Tracking,WATCH,BUY_READY
