timestamp_utc,Ticker,MA20,MA50,MA200,RSI,MACD,MACD_Signal,Avg20_Liquidity_EGP,Liquidity_Spike,Support_20D,Resistance_20D,Support_50D,Resistance_50D,Support_Distance_%,Resistance_Distance_%,Return_5D_%,Return_20D_%,Volatility_20D_%,Breakout_20D
2026-05-27T17:02:11.220457+00:00,MHOT.CA,28.03,26.59,25.39,62.31,1.1537,0.753,14646194.34,2.53,26.3,34.3,23.76,34.3,16.35,12.09,12.92,14.91,5.15,False
2026-05-27T17:02:11.220457+00:00,ICID.CA,4.56,4.22,3.98,68.82,0.1365,0.1305,6354154.44,6.39,4.3,5.07,3.55,5.07,17.21,0.6,10.77,10.28,3.29,True
2026-05-27T17:02:11.220457+00:00,SPMD.CA,0.39,0.36,0.35,61.05,0.0106,0.0109,27680942.43,2.84,0.35,0.43,0.33,0.43,18.0,3.39,7.27,16.67,2.72,True
2026-05-27T17:02:11.220457+00:00,KABO.CA,6.08,6.02,5.99,55.13,0.0202,0.0134,14351900.81,1.05,5.92,6.3,5.71,6.3,5.41,0.96,5.05,2.8,1.18,True
2026-05-27T17:02:11.220457+00:00,MBSC.CA,269.9,264.94,225.76,60.57,4.5264,3.1289,46206651.52,1.73,258.5,295.0,248.0,300.0,5.59,8.07,-0.74,-0.39,1.77,False
2026-05-27T17:02:11.220457+00:00,ELWA.CA,1.86,1.74,1.31,80.0,0.0571,0.0508,2836229.67,4.62,1.78,2.04,1.44,2.04,14.04,0.49,10.33,11.54,1.57,True
2026-05-27T17:02:11.220457+00:00,MAAL.CA,4.6,4.48,4.09,80.2,0.0724,0.042,6877101.91,4.53,4.44,5.17,3.68,5.17,16.22,0.19,15.44,10.97,2.55,True
2026-05-27T17:02:11.220457+00:00,ASPI.CA,0.3,0.29,0.3,54.84,0.0032,0.0039,13448356.2,2.87,0.29,0.32,0.28,0.32,5.44,3.23,0.32,5.44,1.54,False
2026-05-27T17:02:11.220457+00:00,COMI.CA,136.39,129.61,111.31,46.69,0.3179,1.3385,597746437.94,3.46,131.5,144.93,111.03,144.93,1.14,8.97,1.13,-3.34,1.74,False
2026-05-27T17:02:11.220457+00:00,ADIB.CA,46.69,43.57,32.02,55.41,1.0642,1.2221,162216228.82,2.31,44.0,50.08,37.4,50.08,8.2,5.19,1.62,6.39,3.03,False
2026-05-27T17:02:11.220457+00:00,ORWE.CA,21.86,21.4,21.32,65.25,0.2206,0.188,43121787.62,1.23,21.35,22.69,20.29,22.69,6.13,0.13,2.63,6.41,1.1,True
2026-05-27T17:02:11.220457+00:00,ETEL.CA,95.5,89.94,68.36,62.49,1.4525,1.7521,116266955.2,0.87,91.0,101.89,77.12,101.89,7.29,4.36,4.63,3.38,1.69,False
2026-05-27T17:02:11.220457+00:00,AMER.CA,2.44,2.12,1.82,73.4,0.1799,0.1649,116888748.9,0.78,2.06,2.87,1.76,2.87,34.47,3.61,4.92,29.44,3.76,True
2026-05-27T17:02:11.220457+00:00,SNFC.CA,12.0,11.11,9.89,63.64,0.4089,0.391,26252250.46,1.18,10.92,12.79,9.99,12.79,14.01,2.73,0.97,12.57,2.05,False
2026-05-27T17:02:11.220457+00:00,POUL.CA,35.84,33.75,26.79,66.76,0.8891,0.8448,62035882.56,1.19,33.8,39.17,29.85,39.17,12.66,2.86,8.71,10.12,2.73,True
2026-05-27T17:02:11.220457+00:00,FWRY.CA,19.98,18.96,16.37,59.7,0.1818,0.2701,253118139.37,1.26,19.0,21.66,16.45,21.66,7.63,5.92,6.12,2.76,2.22,False
2026-05-27T17:02:11.220457+00:00,IDRE.CA,41.47,36.91,36.46,64.82,2.1901,2.1604,32758159.02,0.87,36.75,49.6,32.04,49.6,22.45,10.22,3.83,20.74,5.21,False
2026-05-27T17:02:11.220457+00:00,SVCE.CA,8.65,7.85,7.62,53.35,0.4803,0.4439,180598100.5,0.32,6.49,10.15,5.48,10.15,41.76,10.33,-1.08,39.61,6.0,False
2026-05-27T17:02:11.220457+00:00,EFIH.CA,21.63,20.28,17.4,65.26,0.4568,0.4597,61731782.67,2.17,20.1,22.83,17.8,22.83,11.94,1.47,4.6,6.13,1.85,False
2026-05-27T17:02:11.220457+00:00,PHDC.CA,13.2,10.67,8.83,73.11,1.0713,1.0812,418611313.94,1.57,10.97,15.25,7.99,15.25,38.29,0.53,12.62,38.29,3.38,True
2026-05-27T17:02:11.220457+00:00,LCSW.CA,27.04,25.64,25.77,59.28,0.447,0.5363,17032755.77,1.25,25.7,29.29,23.26,29.29,7.94,5.59,1.65,7.73,1.96,False
2026-05-27T17:02:11.220457+00:00,PRDC.CA,5.46,4.82,4.06,61.73,0.2255,0.2608,18131594.03,1.22,4.92,6.09,4.0,6.09,15.85,6.84,4.2,14.23,2.99,False
2026-05-27T17:02:11.220457+00:00,ACGC.CA,8.95,8.32,8.2,66.36,0.4628,0.3577,42891398.8,1.21,8.22,10.86,6.94,10.86,20.19,9.92,10.14,18.04,3.4,False
2026-05-27T17:02:11.220457+00:00,MFSC.CA,42.54,35.68,32.36,72.4,5.5611,4.791,13431269.64,1.44,31.21,65.6,30.05,65.6,65.43,27.06,-6.96,65.11,8.09,False
2026-05-27T17:02:11.220457+00:00,EGAL.CA,314.68,306.43,226.88,63.59,7.7746,7.197,121414009.23,0.92,294.5,344.99,270.0,344.99,9.58,6.91,0.84,6.5,2.51,False
2026-05-27T17:02:11.220457+00:00,EXPA.CA,18.35,17.32,16.49,60.49,0.4423,0.474,42549336.36,1.04,16.95,21.18,15.9,21.18,11.09,12.48,0.16,10.83,1.42,False
2026-05-27T17:02:11.220457+00:00,HELI.CA,6.28,5.69,4.82,55.48,0.2407,0.2882,202123384.86,0.51,5.46,6.72,4.94,6.72,16.61,5.55,-0.78,17.01,3.12,False
2026-05-27T17:02:11.220457+00:00,ISPH.CA,11.41,10.77,10.89,57.95,0.1822,0.2379,111953134.92,0.61,10.6,12.25,9.52,12.25,8.02,6.99,-2.39,4.66,2.39,False
2026-05-27T17:02:11.220457+00:00,RMDA.CA,4.87,4.58,4.06,74.26,0.1702,0.1684,61743181.48,0.49,4.36,5.22,4.0,5.22,16.06,3.16,1.2,11.21,2.4,False
2026-05-27T17:02:11.220457+00:00,CSAG.CA,31.09,29.76,30.11,55.22,0.3101,0.4382,20459543.92,0.58,30.05,32.43,27.4,32.43,4.16,3.61,0.81,2.29,1.41,False
2026-05-27T17:02:11.220457+00:00,MTIE.CA,9.07,8.19,7.63,37.31,0.2237,0.3084,32376617.23,0.62,8.26,10.38,7.05,10.38,10.05,14.19,0.0,10.05,3.54,False
2026-05-27T17:02:11.220457+00:00,ARCC.CA,54.95,50.87,42.96,58.09,1.1583,1.4115,36015024.33,0.54,52.6,58.7,41.31,58.7,6.24,5.05,3.0,4.74,1.81,False
2026-05-27T17:02:11.220457+00:00,PRCL.CA,21.56,18.3,15.57,61.3,1.1884,1.4019,32024113.35,0.44,18.78,24.43,14.81,24.43,17.25,10.94,-2.57,11.21,3.95,False
2026-05-27T17:02:11.220457+00:00,CCAP.CA,4.91,4.29,3.41,57.28,0.2756,0.2884,820284167.01,0.77,4.47,5.66,3.59,5.66,14.54,10.55,-3.03,12.53,3.66,False
2026-05-27T17:02:11.220457+00:00,MCQE.CA,191.96,181.37,133.72,50.16,2.7593,3.3592,19973531.52,0.97,185.02,201.0,158.77,201.0,4.85,3.61,2.58,1.52,1.3,False
2026-05-27T17:02:11.220457+00:00,SCEM.CA,63.68,60.27,59.36,56.85,1.6034,1.741,43088060.64,0.25,58.6,72.2,56.51,72.2,11.01,10.99,-0.37,10.07,2.53,False
2026-05-27T17:02:11.220457+00:00,NIPH.CA,154.93,123.33,99.38,61.27,11.7612,13.8092,129826550.64,0.62,123.8,186.89,95.0,186.89,31.68,14.64,1.89,27.86,4.2,False
2026-05-27T17:02:11.220457+00:00,PHTV.CA,205.25,191.06,173.38,59.09,6.8974,6.7809,19562965.81,0.44,182.5,233.0,172.65,233.0,16.27,9.8,0.88,16.69,2.53,False
2026-05-27T17:02:11.220457+00:00,SDTI.CA,44.46,42.14,27.75,56.6,0.7205,0.9676,22974647.15,1.13,43.15,46.49,36.73,46.49,4.13,3.47,0.99,3.29,1.39,False
